Name,Date,Time,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Heat Index,"THW
Index","THSW
Index",Bar,Rain,Rain Rate,Solar Rad.,Solar Energy,Column22,Hi,"UV
Index","UV
Dose",Hi UV,Heat D-D,Cool D-D,In Temp,In Hum,In Dew,In Heat,In EMC,In Air Density,ET,Wind Samp,Wind Tx,"ISS
Recept",Arc. Int.
Table 1,11/27/2023,0:15,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1007.2,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,0:30,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1007.5,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,0:45,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1007.6,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,1:00,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1007.7,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,1:15,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1008,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,1:30,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1008.4,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,1:45,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1008.5,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,2:00,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1008.4,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,2:15,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1008.3,0,0,---,---,,,,,,,,,,,,,,,,,,
Table 1,11/27/2023,2:30,---,---,---,---,---,0,---,0,0,---,---,---,---,---,1008.3,0,0,---,---,,,,,,,,,,,,,,,,,,
